seasonStartYear,awayTeam,pointsAway,homeTeam,pointsHome,attendance,notes,startET,datetime,isRegular,game_id
1996,New York Knicks,101,Vancouver Grizzlies,82,17356,,,11/10/1996,1,74
1996,Phoenix Suns,79,Chicago Bulls,97,23807,,,11/11/1996,1,75
1996,Seattle SuperSonics,110,Sacramento Kings,94,17317,,,11/11/1996,1,76
1996,Denver Nuggets,104,Toronto Raptors,93,17132,,,11/11/1996,1,77
1996,Golden State Warriors,102,Seattle SuperSonics,121,17072,,,11/12/1996,1,78
1996,Philadelphia 76ers,101,New York Knicks,97,19763,,,11/12/1996,1,79
1996,Portland Trail Blazers,97,Minnesota Timberwolves,100,14107,,,11/12/1996,1,80
1996,Cleveland Cavaliers,83,Atlanta Hawks,87,7385,,,11/12/1996,1,81
1996,Charlotte Hornets,97,Miami Heat,105,14393,,,11/12/1996,1,82
1996,Los Angeles Lakers,126,Houston Rockets,115,16285,,,11/12/1996,1,83
1996,Indiana Pacers,82,Dallas Mavericks,103,14153,,,11/12/1996,1,84
1996,Phoenix Suns,89,Milwaukee Bucks,99,13565,,,11/12/1996,1,85
1996,Detroit Pistons,92,Washington Bullets,79,15111,,,11/12/1996,1,86
1996,Los Angeles Clippers,99,Vancouver Grizzlies,92,14259,,,11/12/1996,1,87
1996,Atlanta Hawks,85,Boston Celtics,103,13184,,,11/13/1996,1,88
1996,Miami Heat,71,Chicago Bulls,103,23889,,,11/13/1996,1,89
1996,Portland Trail Blazers,70,Cleveland Cavaliers,81,13757,,,11/13/1996,1,90
1996,Denver Nuggets,94,Detroit Pistons,95,13717,,,11/13/1996,1,91
1996,Washington Bullets,106,New Jersey Nets,91,10884,,,11/13/1996,1,92
1996,Los Angeles Lakers,83,San Antonio Spurs,95,26002,,,11/13/1996,1,93
1996,Philadelphia 76ers,98,Toronto Raptors,110,17385,,,11/13/1996,1,94
1996,Sacramento Kings,74,Utah Jazz,105,19283,,,11/13/1996,1,95
1996,Charlotte Hornets,89,Orlando Magic,96,17248,,,11/14/1996,1,96
1996,Phoenix Suns,89,Vancouver Grizzlies,92,15158,,,11/14/1996,1,97
1996,Toronto Raptors,96,New York Knicks,99,19763,,,11/14/1996,1,98
1996,Dallas Mavericks,90,Minnesota Timberwolves,100,14079,,,11/14/1996,1,99
1996,Milwaukee Bucks,86,Golden State Warriors,95,14414,,,11/14/1996,1,100
1996,Indiana Pacers,88,Houston Rockets,90,16285,,,11/14/1996,1,101
1996,Seattle SuperSonics,94,Los Angeles Clippers,78,6238,,,11/14/1996,1,102
1996,Vancouver Grizzlies,96,Utah Jazz,104,19046,,,11/15/1996,1,103
1996,Cleveland Cavaliers,105,Philadelphia 76ers,89,12901,,,11/15/1996,1,104
1996,Indiana Pacers,93,San Antonio Spurs,78,14395,,,11/15/1996,1,105
1996,Milwaukee Bucks,99,Sacramento Kings,103,17317,,,11/15/1996,1,106
1996,Portland Trail Blazers,93,New Jersey Nets,85,12016,,,11/15/1996,1,107
1996,Los Angeles Clippers,100,Los Angeles Lakers,107,16207,,,11/15/1996,1,108
1996,Chicago Bulls,110,Charlotte Hornets,87,24042,,,11/15/1996,1,109
1996,Denver Nuggets,82,Boston Celtics,80,14133,,,11/15/1996,1,110
1996,Miami Heat,77,Atlanta Hawks,85,16378,,,11/15/1996,1,111
1996,Washington Bullets,84,Detroit Pistons,95,21454,,,11/15/1996,1,112
1996,Toronto Raptors,87,Orlando Magic,92,17248,,,11/16/1996,1,113
1996,Boston Celtics,92,Washington Bullets,106,18756,,,11/16/1996,1,114
1996,Sacramento Kings,96,Seattle SuperSonics,108,17072,,,11/16/1996,1,115
1996,Minnesota Timberwolves,79,New York Knicks,82,19763,,,11/16/1996,1,116
1996,Denver Nuggets,99,New Jersey Nets,106,13309,,,11/16/1996,1,117
1996,Golden State Warriors,103,Houston Rockets,115,16285,,,11/16/1996,1,118
1996,Utah Jazz,88,Dallas Mavericks,87,15947,,,11/16/1996,1,119
1996,Detroit Pistons,102,Cleveland Cavaliers,98,17808,,,11/16/1996,1,120
1996,Atlanta Hawks,69,Chicago Bulls,97,23939,,,11/16/1996,1,121
1996,Philadelphia 76ers,91,Miami Heat,89,15200,,,11/16/1996,1,122
1996,Portland Trail Blazers,88,Indiana Pacers,83,13555,,,11/17/1996,1,123
1996,Milwaukee Bucks,94,Los Angeles Clippers,102,7311,,,11/17/1996,1,124
1996,Los Angeles Lakers,102,Phoenix Suns,88,19023,,,11/17/1996,1,125
1996,Golden State Warriors,102,San Antonio Spurs,92,13334,,,11/17/1996,1,126
1996,Vancouver Grizzlies,81,Seattle SuperSonics,91,17072,,,11/17/1996,1,127
1996,Sacramento Kings,84,Vancouver Grizzlies,83,14672,,,11/18/1996,1,128
1996,Dallas Mavericks,97,Milwaukee Bucks,100,13225,,,11/19/1996,1,129
1996,Seattle SuperSonics,106,Toronto Raptors,98,18803,,,11/19/1996,1,130
1996,Sacramento Kings,90,Portland Trail Blazers,92,20245,,,11/19/1996,1,131
1996,New York Knicks,92,Orlando Magic,88,17248,,,11/19/1996,1,132
1996,Los Angeles Lakers,112,Golden State Warriors,109,18742,,,11/19/1996,1,133
1996,Miami Heat,104,Denver Nuggets,86,12119,,,11/19/1996,1,134
1996,Atlanta Hawks,63,Cleveland Cavaliers,73,14182,,,11/19/1996,1,135
1996,Minnesota Timberwolves,93,Houston Rockets,122,16285,,,11/19/1996,1,136
1996,Seattle SuperSonics,115,Washington Bullets,110,18756,,,11/20/1996,1,137
1996,Detroit Pistons,108,Boston Celtics,83,14291,,,11/20/1996,1,138
1996,New York Knicks,86,Charlotte Hornets,93,24042,,,11/20/1996,1,139
1996,Utah Jazz,113,Los Angeles Lakers,97,16122,,,11/20/1996,1,140
1996,Indiana Pacers,103,Philadelphia 76ers,92,11831,,,11/20/1996,1,141
1996,Chicago Bulls,113,Phoenix Suns,99,19023,,,11/20/1996,1,142
1996,Los Angeles Clippers,93,San Antonio Spurs,81,13386,,,11/20/1996,1,143
1996,Miami Heat,94,Vancouver Grizzlies,75,15054,,,11/20/1996,1,144
1996,Chicago Bulls,110,Denver Nuggets,92,17171,,,11/21/1996,1,145
1996,New Jersey Nets,88,Detroit Pistons,96,14753,,,11/21/1996,1,146
1996,Los Angeles Clippers,94,Dallas Mavericks,105,13510,,,11/21/1996,1,147
1996,Phoenix Suns,105,Houston Rockets,115,16285,,,11/21/1996,1,148
1996,Minnesota Timberwolves,86,Orlando Magic,90,16837,,,11/21/1996,1,149
1996,Atlanta Hawks,73,Milwaukee Bucks,65,14698,,,11/21/1996,1,150
1996,Charlotte Hornets,90,Indiana Pacers,87,13853,,,11/21/1996,1,151
1996,Cleveland Cavaliers,89,Toronto Raptors,81,16835,,,11/21/1996,1,152
1996,Golden State Warriors,104,Utah Jazz,109,18889,,,11/21/1996,1,153
1996,Seattle SuperSonics,118,Boston Celtics,91,17220,,,11/22/1996,1,154
1996,San Antonio Spurs,86,Los Angeles Lakers,96,17505,,,11/22/1996,1,155
1996,Miami Heat,111,Sacramento Kings,108,17317,,,11/22/1996,1,156
1996,Philadelphia 76ers,76,Washington Bullets,88,18756,,,11/22/1996,1,157
1996,Chicago Bulls,100,Utah Jazz,105,19911,,,11/23/1996,1,158
1996,Atlanta Hawks,91,Toronto Raptors,88,16838,,,11/23/1996,1,159
1996,New York Knicks,92,Philadelphia 76ers,109,19209,,,11/23/1996,1,160
1996,Dallas Mavericks,91,New Jersey Nets,114,15701,,,11/23/1996,1,161
1996,Denver Nuggets,65,Portland Trail Blazers,105,20116,,,11/23/1996,1,162
1996,Washington Bullets,95,Milwaukee Bucks,90,16508,,,11/23/1996,1,163
1996,Orlando Magic,76,Indiana Pacers,73,16158,,,11/23/1996,1,164
1996,Houston Rockets,120,Golden State Warriors,115,16896,,,11/23/1996,1,165
1996,Detroit Pistons,85,Charlotte Hornets,93,24042,,,11/23/1996,1,166
1996,Los Angeles Clippers,96,Minnesota Timberwolves,98,16877,,,11/23/1996,1,167
1996,San Antonio Spurs,91,Vancouver Grizzlies,96,15874,,,11/24/1996,1,168
1996,Seattle SuperSonics,102,New York Knicks,92,19763,,,11/24/1996,1,169
1996,Miami Heat,87,Phoenix Suns,84,19023,,,11/24/1996,1,170
1996,Sacramento Kings,74,Cleveland Cavaliers,103,13786,,,11/24/1996,1,171
1996,Dallas Mavericks,91,Boston Celtics,105,15244,,,11/24/1996,1,172
1996,Houston Rockets,90,Los Angeles Lakers,85,17505,,,11/24/1996,1,173
1996,Chicago Bulls,88,Los Angeles Clippers,84,16144,,,11/25/1996,1,174
1996,Milwaukee Bucks,100,Orlando Magic,88,16808,,,11/25/1996,1,175
1996,New Jersey Nets,92,Utah Jazz,108,19132,,,11/25/1996,1,176
1996,Minnesota Timberwolves,98,Washington Bullets,105,12224,,,11/25/1996,1,177
1996,Portland Trail Blazers,101,Houston Rockets,102,16285,,,11/26/1996,1,178
